t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.0,0.19888004642432164,0.22679123698702297,-1.450344309035417e-05,-6.475755841202817e-13,-0.00981000000006723,-3.459982720039464e-13,-6.475755841202818e-10,-9.81000000006723,-3.459982720039464e-10,0.0,0.0,1.0,-1.2565287290772147e-17,-1.3788400269854725e-17,-1.7119987109345688e-18,1.1004438749881769e-11,-3.843831480620866e-12,1.172267644266546e-10,1.545226628768174e-11,1.900614606942527e-11,1.2914749288652031e-10,1.3985399559686328e-09,-7.853475680155896e-11
0.001,0.19888004642432164,0.22677161698702297,-1.4503443090368592e-05,-1.0849205632291263e-14,-0.019619999999999384,-1.4421723857054216e-14,6.367263784879904e-10,-9.809999999932154,3.315765481468922e-10,0.0,0.0,1.0,-9.89843492681517e-18,-5.372899601476868e-18,-5.319329699879284e-19,-1.2601532177988295e-11,5.164423000630567e-14,-1.3289823816309177e-10,-1.6627988750624407e-11,3.6232342712136084e-12,-6.99085754983554e-11,-1.204034275788246e-09,5.596643730783585e-11
0.002,0.19888004642432164,0.22674218698702298,-1.4503443090303558e-05,8.411646495728961e-15,-0.029430000000008887,6.50327806135876e-14,1.9260852128020224e-11,-9.810000000009502,7.945450447064182e-11,0.0,0.0,1.0,1.1376438421463592e-18,-5.288519943936895e-18,-5.814825706686475e-19,5.788392130781154e-12,1.7312356213126519e-12,2.0580244897083168e-11,4.786588491106687e-12,1.819976267361979e-12,-4.3512858232563266e-11,-2.164475028876532e-10,8.496054888481082e-12
0.003,0.19888004642432164,0.22670294698702298,-1.450344309036927e-05,-2.46276615776845e-15,-0.039239999999998186,-6.571175046044744e-14,-1.0874412653497412e-11,-9.8099999999893,-1.3074453107403503e-10,0.0,0.0,1.0,-6.402489220533252e-19,-2.606698041504081e-18,1.8205598936227485e-20,-9.400684522665363e-12,7.935856215774283e-13,-6.868600284496195e-12,-4.285474917068631e-12,-4.1365386493349944e-11,-1.8203149715286004e-12,2.8990999835915116e-11,1.6244521468417627e-11
0.004,0.19888004642432164,0.22665389698702298,-1.4503443090344312e-05,7.815340929202826e-15,-0.049050000000001995,2.4956621375522783e-14,1.0278107086971275e-11,-9.810000000003809,9.066837183597021e-11,0.0,0.0,1.0,4.257039615293739e-18,-3.949375112085072e-18,-5.485251754755945e-18,6.509580494481247e-12,-1.5955314421277962e-12,4.286665100436454e-12,3.5604718280439523e-12,3.285661906791683e-11,-2.2338819970952006e-11,-3.5394110066294684e-12,-1.9380105345510325e-12
0.005,0.19888004642432164,0.226595036987023,-1.4503443090381854e-05,-4.264505877004329e-16,-0.058860000000000565,-3.7541492341393125e-14,-8.241791516903257e-12,-9.80999999999857,-6.24981137169159e-11,0.0,0.0,1.0,9.41354891389073e-19,-1.6233410402709656e-18,-2.808541147952625e-18,-4.920079111686859e-12,7.79252165149044e-12,-3.0559504947053643e-12,-6.174686784123092e-12,-5.381921485429304e-11,2.4217579513738213e-11,-1.9076035303871444e-11,-1.0511507299041065e-11
0.006,0.19888004642432167,0.226526366987023,-1.4503443090370345e-05,1.4339329950547158e-14,-0.0686700000000064,1.1510206914921921e-14,1.4765780538247592e-11,-9.810000000005841,4.9051699256315044e-11,0.0,0.0,1.0,2.8987991175821466e-19,-7.245519993728453e-19,-1.3394867274272045e-18,1.0111974416241491e-11,-7.485899466278741e-12,2.4658837763441695e-12,4.285079080102897e-12,8.970187491662284e-11,-3.057859966887157e-11,3.423841058969981e-11,2.4474406946880663e-11
0.007,0.19888004642432164,0.22644788698702298,-1.450344309037038e-05,-3.576194328705716e-14,-0.07848000000001244,-3.603128040233317e-17,-5.010127323760433e-11,-9.810000000006037,-1.1546238195324255e-11,0.0,0.0,1.0,9.126086861470037e-20,-1.502620465131726e-18,-2.5840721439599856e-19,-1.352682472405474e-11,8.517062856684002e-12,-4.426920465579182e-12,-7.821991799182817e-13,-8.284304870735175e-11,2.0975497811352835e-11,-1.5829666111739147e-11,-2.507549181945863e-11
0.008,0.1988800464243216,0.22635959698702296,-1.4503443090274913e-05,-1.5701731002773205e-14,-0.08829000000001345,9.546668412002794e-14,2.006021228428396e-11,-9.810000000001013,9.550271540043027e-11,0.0,0.0,1.0,8.333340867921966e-18,-3.4182654256624283e-18,-3.298789881220282e-18,-8.741499407397512e-14,2.137503980949908e-11,1.3883348608365647e-11,-1.9425590333867212e-12,4.7489952860834844e-11,6.1712926234977305e-12,3.791498790894708e-12,1.9097151561511646e-11
0.009000000000000001,0.19888004642432164,0.22626149698702297,-1.4503443090391018e-05,1.5370875650871758e-14,-0.09809999999998052,-1.161050576208537e-13,3.1072606653644965e-11,-9.809999999967067,-2.1157174174088162e-10,0.0,0.0,1.0,3.883964176906663e-18,3.0622397012125903e-18,-5.865923686593078e-19,1.890269318755982e-11,-5.1557702146818897e-11,-2.3396354360568947e-11,2.331600818251281e-12,-6.414453268849621e-13,-2.0486973046731267e-11,9.450301590566608e-12,4.7292750595690905e-12
