t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.0,0.19888004642432164,0.22679123698702297,-1.450344309035417e-05,-6.475755841202817e-13,-0.00981000000006723,-3.459982720039464e-13,-6.475755841202818e-10,-9.81000000006723,-3.459982720039464e-10,0.0,0.0,1.0,-1.2565287290772147e-17,-1.3788400269854725e-17,-1.7119987109345688e-18,1.1004438749881769e-11,-3.843831480620866e-12,1.172267644266546e-10,1.545226628768174e-11
0.001,0.19888004642432164,0.22677161698702297,-1.4503443090368592e-05,-1.0849205632291263e-14,-0.019619999999999384,-1.4421723857054216e-14,6.367263784879904e-10,-9.809999999932154,3.315765481468922e-10,0.0,0.0,1.0,-9.89843492681517e-18,-5.372899601476868e-18,-5.319329699879284e-19,-1.2601532177988295e-11,5.164423000630567e-14,-1.3289823816309177e-10,-1.6627988750624407e-11
0.002,0.19888004642432164,0.22674218698702298,-1.4503443090303558e-05,8.411646495728961e-15,-0.029430000000008887,6.50327806135876e-14,1.9260852128020224e-11,-9.810000000009502,7.945450447064182e-11,0.0,0.0,1.0,1.1376438421463592e-18,-5.288519943936895e-18,-5.814825706686475e-19,5.788392130781154e-12,1.7312356213126519e-12,2.0580244897083168e-11,4.786588491106687e-12
0.003,0.19888004642432164,0.22670294698702298,-1.450344309036927e-05,-2.46276615776845e-15,-0.039239999999998186,-6.571175046044744e-14,-1.0874412653497412e-11,-9.8099999999893,-1.3074453107403503e-10,0.0,0.0,1.0,-6.402489220533252e-19,-2.606698041504081e-18,1.8205598936227485e-20,-9.400684522665363e-12,7.935856215774283e-13,-6.868600284496195e-12,-4.285474917068631e-12
0.004,0.19888004642432164,0.22665389698702298,-1.4503443090344312e-05,7.815340929202826e-15,-0.049050000000001995,2.4956621375522783e-14,1.0278107086971275e-11,-9.810000000003809,9.066837183597021e-11,0.0,0.0,1.0,4.257039615293739e-18,-3.949375112085072e-18,-5.485251754755945e-18,6.509580494481247e-12,-1.5955314421277962e-12,4.286665100436454e-12,3.5604718280439523e-12
0.005,0.19888004642432164,0.226595036987023,-1.4503443090381854e-05,-4.264505877004329e-16,-0.058860000000000565,-3.7541492341393125e-14,-8.241791516903257e-12,-9.80999999999857,-6.24981137169159e-11,0.0,0.0,1.0,9.41354891389073e-19,-1.6233410402709656e-18,-2.808541147952625e-18,-4.920079111686859e-12,7.79252165149044e-12,-3.0559504947053643e-12,-6.174686784123092e-12
0.006,0.19888004642432167,0.226526366987023,-1.4503443090370345e-05,1.4339329950547158e-14,-0.0686700000000064,1.1510206914921921e-14,1.4765780538247592e-11,-9.810000000005841,4.9051699256315044e-11,0.0,0.0,1.0,2.8987991175821466e-19,-7.245519993728453e-19,-1.3394867274272045e-18,1.0111974416241491e-11,-7.485899466278741e-12,2.4658837763441695e-12,4.285079080102897e-12
0.007,0.19888004642432164,0.22644788698702298,-1.450344309037038e-05,-3.576194328705716e-14,-0.07848000000001244,-3.603128040233317e-17,-5.010127323760433e-11,-9.810000000006037,-1.1546238195324255e-11,0.0,0.0,1.0,9.126086861470037e-20,-1.502620465131726e-18,-2.5840721439599856e-19,-1.352682472405474e-11,8.517062856684002e-12,-4.426920465579182e-12,-7.821991799182817e-13
0.008,0.1988800464243216,0.22635959698702296,-1.4503443090274913e-05,-1.5701731002773205e-14,-0.08829000000001345,9.546668412002794e-14,2.006021228428396e-11,-9.810000000001013,9.550271540043027e-11,0.0,0.0,1.0,8.333340867921966e-18,-3.4182654256624283e-18,-3.298789881220282e-18,-8.741499407397512e-14,2.137503980949908e-11,1.3883348608365647e-11,-1.9425590333867212e-12
0.009000000000000001,0.19888004642432164,0.22626149698702297,-1.4503443090391018e-05,1.5370875650871758e-14,-0.09809999999998052,-1.161050576208537e-13,3.1072606653644965e-11,-9.809999999967067,-2.1157174174088162e-10,0.0,0.0,1.0,3.883964176906663e-18,3.0622397012125903e-18,-5.865923686593078e-19,1.890269318755982e-11,-5.1557702146818897e-11,-2.3396354360568947e-11,2.331600818251281e-12
0.010000000000000002,0.19888004642432164,0.22615358698702298,-1.4503443090392627e-05,6.186787368093867e-15,-0.10791000000000044,-1.6096371071711422e-15,-9.18408828277789e-12,-9.810000000019913,1.1449542051368256e-10,0.0,0.0,1.0,-9.657805706266693e-19,6.155763908868272e-20,9.045687501295207e-19,-1.1320031910263746e-11,2.293705411686154e-11,1.1339133381300982e-11,-8.201492834924486e-13
0.011000000000000003,0.19888004642432164,0.22603586698702297,-1.4503443090378256e-05,1.9473128074543344e-15,-0.11772000000000607,1.437107203110131e-14,-4.239474560639532e-12,-9.810000000005633,1.5980709138272453e-11,0.0,0.0,1.0,1.6401830978058179e-18,-1.5446206176882335e-19,-1.0324684715620656e-18,2.5267823063179384e-13,-1.3083253613090704e-12,3.673760249418434e-12,-7.785149579478478e-13
0.012000000000000004,0.19888004642432164,0.22590833698702295,-1.4503443090363886e-05,1.947398165112206e-15,-0.12753000000000608,1.43708688515321e-14,8.535765787159243e-17,-9.810000000000013,-2.031795692106551e-16,0.0,0.0,1.0,4.245635875097956e-18,-3.6916200217181495e-19,-2.969107296276777e-18,2.2401984676161817e-17,7.36161214436533e-17,1.7077220933174748e-16,5.674943237181602e-18
0.013000000000000005,0.19888004642432164,0.22577099698702296,-1.4503443090381243e-05,-1.2077101727369859e-14,-0.1373399999999827,-1.7357468451462448e-14,-1.4024499892482064e-11,-9.809999999976615,-3.1728337302994545e-11,0.0,0.0,1.0,3.176710841397233e-18,3.530291452233618e-18,-2.6533881555989253e-19,-2.369894278010408e-13,9.044370668545559e-12,-3.690813884825054e-12,3.0667928111322154e-12
0.014000000000000005,0.19888004642432164,0.22562384698702295,-1.4503443090372771e-05,-6.222761676468735e-15,-0.14715000000000114,8.472595528204766e-15,5.854340050901124e-12,-9.810000000018443,2.5830063979667213e-11,0.0,0.0,1.0,1.1260329295850704e-17,-8.049558481614013e-18,-1.2351339925174753e-17,-4.544699170674746e-12,-1.4701775847158807e-11,6.331806963959244e-13,-5.360456764980286e-12
0.015000000000000006,0.19888004642432164,0.22546688698702297,-1.450344309040579e-05,5.757524614077945e-15,-0.1569599999999828,-3.301970255471114e-14,1.198028629054668e-11,-9.809999999981667,-4.1492298082915905e-11,0.0,0.0,1.0,4.942042459222703e-18,-4.017035310992589e-18,-6.448009342594811e-18,8.51225918795452e-12,1.953115033305642e-11,1.363092191102338e-12,9.085004839448502e-12
0.016000000000000007,0.19888004642432164,0.22530011698702296,-1.4503443090396845e-05,-9.138449898722e-16,-0.16677000000000675,8.944538504542866e-15,-6.671369603950145e-12,-9.810000000023939,4.1964241059254006e-11,0.0,0.0,1.0,1.5807321343931801e-18,-3.394151774441181e-18,-8.111079684762217e-19,3.958746713320398e-12,-1.0014839748297745e-11,-2.165778461791625e-12,-7.295592001153597e-12
0.017000000000000008,0.19888004642432164,0.22512353698702295,-1.4503443090378619e-05,-8.334716807605926e-15,-0.1765799999999997,1.822616536470345e-14,-7.420871817733726e-12,-9.809999999992963,9.281626860160586e-12,0.0,0.0,1.0,1.1373675328702513e-18,-4.178063522334758e-18,1.0811043934649265e-18,-2.5284807839668385e-11,-4.03516774194222e-12,-2.925392038460173e-13,1.5469075856541998e-13
0.01800000000000001,0.19888004642432164,0.22493714698702297,-1.4503443090367067e-05,-8.296893821579917e-16,-0.18638999999998096,1.1552438196139275e-14,7.505027425447934e-12,-9.809999999981251,-6.673727168564176e-12,0.0,0.0,1.0,5.284990624168879e-18,-1.5612346033835865e-18,-1.5771338909174294e-18,2.0804132992574338e-11,4.269024103098982e-13,2.4035013430641677e-12,1.5055622542553917e-12
0.01900000000000001,0.19888004642432164,0.22474094698702296,-1.4503443090366566e-05,-7.39133668461646e-15,-0.1962000000000142,5.008695205519593e-16,-6.561647302458468e-12,-9.810000000033236,-1.1051568675587316e-11,0.0,0.0,1.0,3.2992407961208975e-18,-5.30150686204814e-19,-1.6845276115707684e-18,-4.63428725020815e-12,3.0769385266526714e-13,-7.237748160951802e-13,2.5399754888209675e-12
0.02000000000000001,0.19888004642432164,0.22453493698702295,-1.4503443090366064e-05,-7.391317572327408e-15,-0.2060100000000142,5.009709583418575e-16,1.911228905160303e-17,-9.810000000000013,1.0143778989817771e-16,0.0,0.0,1.0,1.3133766785142268e-18,5.008264928846145e-19,-1.791607930825413e-18,-1.28633000541584e-17,2.1745129008538753e-17,1.588970479773022e-16,5.213847996810531e-17
0.02100000000000001,0.19888004642432164,0.22431911698702298,-1.45034430903778e-05,1.0504850622634901e-14,-0.21581999999998663,-1.1736160529408213e-14,1.789616819496231e-11,-9.809999999972424,-1.2237131487750072e-11,0.0,0.0,1.0,-2.9811368237461402e-18,1.0967386477654444e-18,1.0569767500165723e-19,3.67154333219912e-12,1.9199526811824768e-12,-2.176228129253826e-12,-9.961286733526591e-12
0.022000000000000013,0.1988800464243216,0.22409348698702297,-1.450344309036889e-05,-2.299187871029883e-14,-0.22563000000001462,8.911268627435032e-15,-3.3496729332933734e-11,-9.81000000002799,2.0647429156843244e-11,0.0,0.0,1.0,-8.998518794697871e-19,3.4182566639412322e-18,-2.124726009433345e-19,-1.151812442558585e-11,-2.946094287097146e-13,5.375415191295349e-12,9.579431371427033e-12
0.023000000000000013,0.19888004642432164,0.223858046987023,-1.45034430903444e-05,1.4450173497505535e-14,-0.23543999999997134,2.4490244379579125e-14,3.744205220780436e-11,-9.809999999956714,1.5578975752144095e-11,0.0,0.0,1.0,1.6761163175768836e-18,-2.161975489214139e-18,1.5062208753388762e-18,3.4928261194413546e-11,1.7906487339155634e-12,-1.234348614520521e-11,-6.4832833768064956e-12
0.024000000000000014,0.19888004642432164,0.22361279698702302,-1.4503443090370027e-05,-7.1005835342967045e-15,-0.24524999999998703,-2.562663008042796e-14,-2.1550757031802238e-11,-9.810000000015695,-5.0116874460007083e-11,0.0,0.0,1.0,-6.483244328752669e-19,2.830043938631235e-18,-9.304144984387562e-19,-2.5577324640720322e-11,1.2141629849326219e-12,6.882321844629407e-12,4.0431992703860875e-12
0.025000000000000015,0.19888004642432164,0.22335773698702296,-1.4503443090360779e-05,-5.215575212359905e-15,-0.2550600000000516,9.247624936957253e-15,1.8850083219367992e-12,-9.810000000064544,3.487425501738521e-11,0.0,0.0,1.0,-7.115352922018816e-19,-6.513727350459188e-18,-2.1243043759247987e-19,-1.8613378401857178e-11,-4.286040235450105e-12,4.978318675960758e-12,5.426937899002579e-12
